prod_name,sale_qty,sale_cost,sale
COLGATE TOTAL ADV HE 120+120G,22,4785.54,5171
COLGATE VISIB WH360 WMC B2G2,9,245.43,261
COLGATE VISIBLE WHITE 100GM,20,2268.35,2531
COLGATE VISIBLE WHITE 200GM,5,695.89,766
COLGATE ZIGZAG ANTI GER  SOFT,12,288.01,348
COLGATE ZIGZAG ANTI GERM MED,16,288.01,464
COLGATE ZIGZAG NM ME T/B PK 4,7,513.36,679
COLGATE ZIGZAG T BRUSH MEDIUM,11,279.1,349
COLGET CHARCOAL CLE 120G+120G,2,365.22,402
COLGET CHARCOAL CLEAN 120GM,16,1745.45,1888
COLGET KIDS BLUE TOTH PAS 80G,3,294.18,324
DABUR BABOOL TOOTH PASTE 35GM,1,9.11,10
DABUR DANT MANJAN LAL 150GM,7,469.28,506
DABUR DANT MANJAN LAL 60GM,10,275.98,290
DABUR MESWAK TOOTH PASTE 100G,44,2443.96,2636
DABUR MESWAK TOOTH PASTE 200G,31,3061.81,3309
DABUR MESWAK TOOTH PASTE 300G,14,1859.76,2045
DABUR MESWAK TOOTH PASTE 50GM,48,880.42,960
DABUR RED T PASTE  300GM,5,747.6,845
DABUR RED T PASTE  40GM,50,916.53,999
DABUR RED T/PAST SUP SA 2X150,3,354.93,402
DABUR T PASTE RED GEL 150 GM,19,1082.73,1169
DABUR T PASTE RED GEL 25 GM,8,72.88,80
DABUR T PASTE RED GEL 80GM,2,79,86
DABUR TOOTH  PASTE LAL 100GM,41,2181.96,2350.01
DABUR TOOTH PASTE LAL 200GM,44,4235.81,4606
